1,1,95869310121,2000-10-26,21:24:00,2000-10-26,22:42:00,2,Tu sie coœ wstawi
2,2,90884210122,2000-09-26,13:28:00,2000-09-26,15:44:00,2,Tu sie coœ wstawi
3,3,93564910052,2000-12-26,05:45:00,2000-12-27,00:55:00,0,Tu sie coœ wstawi
4,4,97886610113,2000-07-26,16:45:00,2000-07-26,01:15:00,2,Tu sie coœ wstawi
5,5,98714110180,2000-11-26,18:22:00,2000-11-26,01:17:00,3,Tu sie coœ wstawi
6,6,91876010089,2000-06-26,06:11:00,2000-06-26,18:26:00,0,Tu sie coœ wstawi
7,7,94841710105,2000-08-26,10:01:00,2000-08-26,17:31:00,1,Tu sie coœ wstawi
8,8,95565010039,2000-06-26,07:28:00,2000-06-26,23:29:00,3,Tu sie coœ wstawi
9,9,91649210199,2000-07-26,16:56:00,2000-07-26,01:03:00,5,Tu sie coœ wstawi
10,10,96428110047,2000-12-26,21:41:00,2000-12-26,22:44:00,5,Tu sie coœ wstawi
11,11,92056710134,2000-11-26,16:37:00,2000-11-27,01:42:00,3,Tu sie coœ wstawi
12,12,91407110168,2000-10-26,19:30:00,2000-10-27,00:55:00,3,Tu sie coœ wstawi
13,13,99644110020,2000-07-26,18:55:00,2000-07-26,01:44:00,5,Tu sie coœ wstawi
14,14,90456310191,2000-08-26,04:12:00,2000-08-26,12:36:00,0,Tu sie coœ wstawi
15,15,91038810022,2000-06-26,03:14:00,2000-06-26,05:56:00,5,Tu sie coœ wstawi
16,16,93027710079,2000-09-26,13:46:00,2000-09-26,16:55:00,1,Tu sie coœ wstawi
17,17,94841710105,2000-08-26,22:55:00,2000-08-26,01:53:00,5,Tu sie coœ wstawi
18,18,97017710066,2000-11-26,23:31:00,2000-11-26,01:24:00,2,Tu sie coœ wstawi
19,19,91235710109,2000-08-26,10:27:00,2000-08-26,01:13:00,0,Tu sie coœ wstawi
20,20,93180010194,2000-08-26,20:21:00,2000-08-26,20:27:00,1,Tu sie coœ wstawi
21,21,91235710109,2000-08-26,23:35:00,2000-08-26,01:31:00,2,Tu sie coœ wstawi
22,22,90682910101,2000-06-26,03:01:00,2000-06-26,11:32:00,5,Tu sie coœ wstawi
23,23,93049310196,2000-10-26,17:06:00,2000-10-26,22:24:00,0,Tu sie coœ wstawi
24,24,91038810022,2000-12-26,12:53:00,2000-12-26,16:58:00,4,Tu sie coœ wstawi
25,25,97258510131,2000-07-26,21:59:00,2000-07-26,01:34:00,1,Tu sie coœ wstawi
26,26,92373710147,2000-11-26,19:44:00,2000-11-26,01:13:00,2,Tu sie coœ wstawi
27,27,93771510114,2000-08-26,06:53:00,2000-08-26,01:24:00,4,Tu sie coœ wstawi
28,28,93696610006,2000-10-26,22:02:00,2000-10-26,22:37:00,1,Tu sie coœ wstawi
29,29,93027710079,2000-09-26,10:07:00,2000-09-26,21:34:00,0,Tu sie coœ wstawi
30,30,99564210001,2000-06-26,19:22:00,2000-06-26,19:22:00,5,Tu sie coœ wstawi
31,31,99047210055,2000-06-26,21:58:00,2000-06-26,01:32:00,5,Tu sie coœ wstawi
32,32,99779610118,2000-09-26,19:02:00,2000-09-27,01:20:00,2,Tu sie coœ wstawi
33,33,97258510131,2000-12-26,03:28:00,2000-12-26,03:36:00,5,Tu sie coœ wstawi
34,34,95822110060,2000-11-26,05:00:00,2000-11-26,19:48:00,4,Tu sie coœ wstawi
35,35,98590410034,2000-11-26,03:00:00,2000-11-26,18:30:00,1,Tu sie coœ wstawi
36,36,93771510114,2000-12-26,08:01:00,2000-12-26,17:02:00,1,Tu sie coœ wstawi
37,37,97886610113,2000-11-26,22:13:00,2000-11-27,01:26:00,4,Tu sie coœ wstawi
38,38,96241910084,2000-06-26,11:40:00,2000-06-26,01:11:00,2,Tu sie coœ wstawi
39,39,92033010090,2000-08-26,10:41:00,2000-08-26,01:05:00,2,Tu sie coœ wstawi
40,40,91658710045,2000-08-26,07:58:00,2000-08-26,01:51:00,3,Tu sie coœ wstawi
41,41,94862010074,2000-07-26,19:54:00,2000-07-26,01:16:00,1,Tu sie coœ wstawi
42,42,90547410198,2000-11-26,08:24:00,2000-11-26,19:44:00,2,Tu sie coœ wstawi
43,43,93066610004,2000-12-26,07:21:00,2000-12-26,20:51:00,3,Tu sie coœ wstawi
44,44,93066610004,2000-10-26,03:47:00,2000-10-26,01:23:00,4,Tu sie coœ wstawi
