1,1,P80WETZQ08100009,1,91407100001,2000-09-26,2000-09-26,Nie wiem czy tu zawsze bedzie to samo,19:44:00,21:51:00,2000-09-26,01:45:00
2,2,V30MZETH62100001,1,99671100015,2000-09-26,2000-09-27,Nie wiem czy tu zawsze bedzie to samo,19:44:00,01:46:00,2000-09-26,01:59:00
3,3,P80WETZQ08100009,1,98369100012,2000-09-26,2000-09-27,Nie wiem czy tu zawsze bedzie to samo,19:44:00,01:46:00,2000-09-26,22:50:00
4,4,M28SBUFE05100004,1,96112100008,2000-09-26,2000-09-26,Nie wiem czy tu zawsze bedzie to samo,19:44:00,22:54:00,2000-09-26,00:45:00
5,5,V36UUFKZ07100008,1,98369100012,2000-09-26,2000-09-26,Nie wiem czy tu zawsze bedzie to samo,19:44:00,21:50:00,2000-09-26,01:56:00
6,6,L93UGYLO28100007,2,95534100006,2000-07-26,2000-07-26,Nie wiem czy tu zawsze bedzie to samo,09:17:00,11:35:00,2000-07-26,12:28:00
7,7,T71DBOSE49100002,2,91407100001,2000-07-26,2000-07-26,Nie wiem czy tu zawsze bedzie to samo,09:17:00,21:43:00,2000-07-26,11:52:00
8,8,W64FAQPL84100006,2,97346100011,2000-07-26,2000-07-26,Nie wiem czy tu zawsze bedzie to samo,09:17:00,22:45:00,2000-07-26,16:18:00
9,9,W83POJCF48100005,2,91385100013,2000-07-26,2000-07-26,Nie wiem czy tu zawsze bedzie to samo,09:17:00,12:32:00,2000-07-26,19:31:00
10,10,P80WETZQ08100009,2,91407100001,2000-07-26,2000-07-26,Nie wiem czy tu zawsze bedzie to samo,09:17:00,20:57:00,2000-07-26,13:55:00
11,11,V30MZETH62100001,2,96745100005,2000-07-26,2000-07-27,Nie wiem czy tu zawsze bedzie to samo,09:17:00,00:17:00,2000-07-26,16:20:00
12,12,T71DBOSE49100002,2,96112100008,2000-07-26,2000-07-26,Nie wiem czy tu zawsze bedzie to samo,09:17:00,14:58:00,2000-07-26,20:28:00
13,13,V36UUFKZ07100008,3,91407100001,2000-06-27,2000-06-27,Nie wiem czy tu zawsze bedzie to samo,00:51:00,05:51:00,2000-06-27,20:52:00
